   text	   data	    bss	    dec	    hex	filename
    380	      0	      0	    380	    17c	../../..//mediatek/platform/mt6575/uboot/addr_trans.o
   5042	      8	   4768	   9818	   265a	../../..//mediatek/platform/mt6575/uboot/bmt.o
    192	      0	      4	    196	     c4	../../..//mediatek/platform/mt6575/uboot/boot_mode.o
    777	      0	      0	    777	    309	../../..//mediatek/platform/mt6575/uboot/irq.o
   5179	      0	     28	   5207	   1457	../../..//mediatek/platform/mt6575/uboot/load_image.o
     48	      0	      0	     48	     30	../../..//mediatek/platform/mt6575/uboot/lowlevel_init.o
      0	      0	      0	      0	      0	../../..//mediatek/platform/mt6575/uboot/mmc_core.o
      0	      0	      0	      0	      0	../../..//mediatek/platform/mt6575/uboot/mmc_test.o
  10737	      0	    232	  10969	   2ad9	../../..//mediatek/platform/mt6575/uboot/msdc.o
    220	      0	      0	    220	     dc	../../..//mediatek/platform/mt6575/uboot/msdc_utils.o
    932	      0	      0	    932	    3a4	../../..//mediatek/platform/mt6575/uboot/mt6575_auxadc.o
  10441	    184	    588	  11213	   2bcd	../../..//mediatek/platform/mt6575/uboot/mt6575_bat.o
    878	      0	      0	    878	    36e	../../..//mediatek/platform/mt6575/uboot/mt6575_board.o
     60	      0	      0	     60	     3c	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_assert_layer.o
   1767	      0	      0	   1767	    6e7	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_drv_dbi.o
   2649	      0	     24	   2673	    a71	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_drv_dpi.o
   4748	      0	     28	   4776	   12a8	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_drv_dsi.o
   5966	      0	    564	   6530	   1982	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_drv.o
   2234	      0	    188	   2422	    976	../../..//mediatek/platform/mt6575/uboot/mt6575_dpi_drv.o
   7975	      0	    364	   8339	   2093	../../..//mediatek/platform/mt6575/uboot/mt6575_dsi_drv.o
    288	      0	      0	    288	    120	../../..//mediatek/platform/mt6575/uboot/mt6575_factory.o
    316	    224	     32	    572	    23c	../../..//mediatek/platform/mt6575/uboot/mt6575_gpio_init.o
   5563	      4	      0	   5567	   15bf	../../..//mediatek/platform/mt6575/uboot/mt6575_gpio.o
   1651	      0	      0	   1651	    673	../../..//mediatek/platform/mt6575/uboot/mt6575_i2c.o
    349	      0	      0	    349	    15d	../../..//mediatek/platform/mt6575/uboot/mt6575_key.o
   8575	      0	   4056	  12631	   3157	../../..//mediatek/platform/mt6575/uboot/mt6575_lcd_drv.o
   2258	      0	      4	   2262	    8d6	../../..//mediatek/platform/mt6575/uboot/mt6575_logo.o
   1066	      0	      0	   1066	    42a	../../..//mediatek/platform/mt6575/uboot/mt6575_meta.o
   7744	   1752	    164	   9660	   25bc	../../..//mediatek/platform/mt6575/uboot/mt6575_nand.o
    424	      0	     12	    436	    1b4	../../..//mediatek/platform/mt6575/uboot/mt6575.o
    264	      0	      0	    264	    108	../../..//mediatek/platform/mt6575/uboot/mt6575_pll.o
  24265	      4	     12	  24281	   5ed9	../../..//mediatek/platform/mt6575/uboot/mt6575_pmic6329.o
   5830	     28	      8	   5866	   16ea	../../..//mediatek/platform/mt6575/uboot/mt6575_pwm.o
    481	      0	      0	    481	    1e1	../../..//mediatek/platform/mt6575/uboot/mt6575_recovery.o
   1343	      0	      0	   1343	    53f	../../..//mediatek/platform/mt6575/uboot/mt6575_rtc.o
   1688	      0	      0	   1688	    698	../../..//mediatek/platform/mt6575/uboot/mt6575_sleep.o
   1934	     28	      8	   1970	    7b2	../../..//mediatek/platform/mt6575/uboot/mt65xx_leds.o
   1177	      0	      8	   1185	    4a1	../../..//mediatek/platform/mt6575/uboot/mtk_serial.o
    824	      0	      8	    832	    340	../../..//mediatek/platform/mt6575/uboot/mtk_timer.o
    411	      0	      4	    415	    19f	../../..//mediatek/platform/mt6575/uboot/mtk_wdt.o
   1617	      0	   6284	   7901	   1edd	../../..//mediatek/platform/mt6575/uboot/partition_mt.o
